fs_code,fs_name,fs_uid,fs_district,fs_region
421033,CSB1 Andriamena,NiDogL8qQFZ,Tsaratanana,BETSIBOKA
421042,CSB2 Ampandrana,ozpDHJO5iiM,Tsaratanana,BETSIBOKA
421012,CSB2 Tsaratanana,MeCE6YH6yrY,Tsaratanana,BETSIBOKA
421034,CSB1 Ankisatra,KIhUnWzkfgW,Tsaratanana,BETSIBOKA
421030,CSB1 Ambalanirana,W78zhf1XTqa,Tsaratanana,BETSIBOKA
421004,CSB1 Isinko,Bdc0wDAtFkB,Tsaratanana,BETSIBOKA
421032,CSB1 Ambohimiarina,mJzKhwrDVkN,Tsaratanana,BETSIBOKA
421031,CSB1 Ambohidronono,flWLLXcizjf,Tsaratanana,BETSIBOKA
421038,CSB1 Betenina,eFPxLNvzPTu,Tsaratanana,BETSIBOKA
421036,CSB1 Bemavo,nXFPsukiNco,Tsaratanana,BETSIBOKA
421035,CSB1 Antaniditra,cTmG8S12iae,Tsaratanana,BETSIBOKA
421037,CSB1 Bemololo,gjOYrK3B0GV,Tsaratanana,BETSIBOKA
421039,CSB1 Mahabe,tEvEp6BhyBH,Tsaratanana,BETSIBOKA
421010,CSB2 Sarobaratra,aqB4fxqRQy2,Tsaratanana,BETSIBOKA
421007,CSB1 Morafeno,JUDDVyIKt9i,Tsaratanana,BETSIBOKA
421006,CSB1 Masokoamena,yR6GfTI07m5,Tsaratanana,BETSIBOKA
421041,CSB2 Ambakireny,Cix3gTYNuz5,Tsaratanana,BETSIBOKA
421001,CSB1 Ambatobe,q57FSdLGD8m,Tsaratanana,BETSIBOKA
421011,CSB2 Tsararova,GN1psCaI99T,Tsaratanana,BETSIBOKA
421040,CSB1 Telomita,Y9C8a16QLXc,Tsaratanana,BETSIBOKA
421008,CSB2 Bekapaika,zsCstaLriVo,Tsaratanana,BETSIBOKA
421002,CSB1 Ambatomainty,K0T3jKmjxDP,Tsaratanana,BETSIBOKA
421003,CSB1 Ampitetika,SXKJUfKOH4H,Tsaratanana,BETSIBOKA
421005,CSB1 Mahatazana,sgEilvjkWYL,Tsaratanana,BETSIBOKA
421046,CSB2 Sakoamadinika,RaMhzh3gDaE,Tsaratanana,BETSIBOKA
421044,CSB2 keliloha,QnokoCsAZjG,Tsaratanana,BETSIBOKA
421043,CSB2 Brieville,DuUPaROrqrH,Tsaratanana,BETSIBOKA
421045,CSB2 Manakana,XafHLpkHtio,Tsaratanana,BETSIBOKA
421009,CSB2 Betrandraka,XETw1vYBDlT,Tsaratanana,BETSIBOKA
112052,FSP Mangatany,ou6xEQaSeJ2,Arivonimamo,ITASY
118031,Cabinet privée Mahavelona,d4dlYSgHm1m,Soavinandriana,ITASY
117035,CSB2 Ampasamanatogotra,cUBFKSkLegW,Miarinarivo,ITASY
117047,CSB2 Ankorondrano,zbr2cJpoSDe,Miarinarivo,ITASY
112051,COGN Arivonimamo,pMZMiSQPAT9,Arivonimamo,ITASY
118032,Cabinet pv Soavinandriana avaratsena,ia7oyfahugB,Soavinandriana,ITASY
118033,Cabinet privée Ampararano,fa4cyyFbFpb,Soavinandriana,ITASY
112028,CSB1 Antanety,NpId2k168wN,Arivonimamo,ITASY
117037,CSB2 Fialofa Ifanja,dLF2N81G7Vy,Miarinarivo,ITASY
118023,CHRD2 Soavinandriana,Mq09ROYZ1YX,Soavinandriana,ITASY
118018,CSB2 Mahavelona,w7gvP4jpOmv,Soavinandriana,ITASY
117046,CSB2 Ambohimanazaka,Rj3ZstGwjq5,Miarinarivo,ITASY
118028,CSB2 Tamponala,udGt2fxOw0c,Soavinandriana,ITASY
112023,CSB2 CML Dr Raoelison Mauricia,wY5TaK41mw4,Arivonimamo,ITASY
117043,CHRR  Itasy,KFVXic2QZyL,Miarinarivo,ITASY
117001,CSB2 Alatsinainikely,PNRKjYAoy2n,Miarinarivo,ITASY
117038,CSB2 Tianarivo,aZC0LYWA95m,Miarinarivo,ITASY
112034,CSB2 SANTE SUD TALATA MAROMENA,OyOG8LSyLGB,Arivonimamo,ITASY
118021,CSB2 Masindray,mwP5EF9Z6xp,Soavinandriana,ITASY
118024,CSB1 CARMA Antorapasika,UJULbgxGFzB,Soavinandriana,ITASY
118019,CSB2 Mananasy,p3fLrfqZw2f,Soavinandriana,ITASY
112040,CSB2 Miantsoarivo,By8AbPlqu94,Arivonimamo,ITASY
117014,CSB2 Talatan'Ambatofolaka,YrPF84HslBk,Miarinarivo,ITASY
118026,CSB2 Sant� Sud Ambohidanerana,W6Dy9NfObBA,Soavinandriana,ITASY
117029,CSB2 Amparibohitra,PAamWSgd0wF,Miarinarivo,ITASY
112001,CSB2 Alakamisikely,AZpMegRBDfd,Arivonimamo,ITASY
112008,CSB2 Antambolo,Y8FwBm93x3a,Arivonimamo,ITASY
117041,CSB1 Sant� Sud Ampamaho,HKtxWG8bkyG,Miarinarivo,ITASY
118006,CSB2 Amparibohitra,O7BMf19W44b,Soavinandriana,ITASY
112018,CSB2 Antenimbe,qCh28dTt5QD,Arivonimamo,ITASY
117044,CSB1 Sant Sud SOARONONO,UDfv5WMCMdY,Miarinarivo,ITASY
118008,CSB2 Cabinet M�dical Ampary,ln7XUY0S8pE,Soavinandriana,ITASY
112043,CSB1 Antsahanadrisa,LQY2HMSCkOa,Arivonimamo,ITASY
112039,CSB2 Talata Miandrandra,Chf5KQmEKJA,Arivonimamo,ITASY
117007,CSB1  ANKONABE,oS3jrBQ2rdl,Miarinarivo,ITASY
112036,CSB2 Mahatsinjo Atsinanana,GEEMMoZtidp,Arivonimamo,ITASY
118001,CSB2 Ambatoasana Centre,tGsx06V93JF,Soavinandriana,ITASY
118013,CSB2 Ankisabe,UK8ENFopELj,Soavinandriana,ITASY
112042,CSB2 Morafeno,NODxztI3K3U,Arivonimamo,ITASY
118015,CSB1 ANKERANA,uqIkCYA5uV3,Soavinandriana,ITASY
118017,CSB2 Dondona,f5ZB3ph5BQ0,Soavinandriana,ITASY
117020,CSB2 Sant� Sud Ambohibary,g5YQdYWtiiK,Miarinarivo,ITASY
